신규분류 요약코드,제품군,공정,최소목표일
Si_1-Day_Color_Sph,Clalen O2O2 D_Deep Black_45% + -06.50,하이드레이션,2026-04-03
Si_1-Day_Color_Sph,Clalen O2O2 D_Deep Black_45% + -07.00,누수규격,2026-04-06
Si_1-Day_Color_Sph,Clalen O2O2 D_Deep Black_45% + -07.00,분리,2026-04-02
Si_1-Day_Color_Sph,Clalen O2O2 D_Deep Black_45% + -07.00,사출,2026-04-01
Si_1-Day_Color_Sph,Clalen O2O2 D_Deep Black_45% + -07.00,접착,2026-04-05
Si_1-Day_Color_Sph,Clalen O2O2 D_Deep Black_45% + -07.00,하이드레이션,2026-04-03
Si_1-Day_Color_Sph,Clalen O2O2 D_Deep Black_45% + -07.50,누수규격,2026-04-06
Si_1-Day_Color_Sph,Clalen O2O2 D_Deep Black_45% + -07.50,분리,2026-04-02
Si_1-Day_Color_Sph,Clalen O2O2 D_Deep Black_45% + -07.50,사출,2026-04-01
Si_1-Day_Color_Sph,Clalen O2O2 D_Deep Black_45% + -07.50,접착,2026-04-05
Si_1-Day_Color_Sph,Clalen O2O2 D_Deep Black_45% + -07.50,하이드레이션,2026-04-03
Si_1-Day_Color_Sph,Clalen O2O2 D_Deep Black_45% + -08.00,누수규격,2026-04-06
Si_1-Day_Color_Sph,Clalen O2O2 D_Deep Black_45% + -08.00,분리,2026-04-02
Si_1-Day_Color_Sph,Clalen O2O2 D_Deep Black_45% + -08.00,사출,2026-04-01
Si_1-Day_Color_Sph,Clalen O2O2 D_Deep Black_45% + -08.00,접착,2026-04-05
Si_1-Day_Color_Sph,Clalen O2O2 D_Deep Black_45% + -08.00,하이드레이션,2026-04-03
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.00,누수규격,2026-04-10
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.00,분리,2026-04-06
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.00,사출,2026-04-05
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.00,접착,2026-04-09
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.00,하이드레이션,2026-04-07
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.25,누수규격,2026-04-10
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.25,분리,2026-04-06
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.25,사출,2026-04-05
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.25,접착,2026-04-09
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.25,하이드레이션,2026-04-07
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.50,누수규격,2026-04-10
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.50,분리,2026-04-06
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.50,사출,2026-04-05
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.50,접착,2026-04-09
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.50,하이드레이션,2026-04-07
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.75,누수규격,2026-04-10
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.75,분리,2026-04-06
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.75,사출,2026-04-05
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.75,접착,2026-04-09
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -01.75,하이드레이션,2026-04-07
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -02.00,분리,2026-04-06
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -02.00,사출,2026-04-05
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -02.25,누수규격,2026-04-10
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -02.25,분리,2026-04-06
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -02.25,사출,2026-04-05
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -02.25,접착,2026-04-09
Si_1-Day_Color_Sph,Clalen O2O2 D_Lake Gray_45% + -02.25,하이드레이션,2026-04-07
