공장,공정,생산일자,양품
S관(3공장),사출,2026-06-07,194826.0
S관(3공장),사출,2026-06-08,261745.0
S관(3공장),사출,2026-06-09,217880.0
S관(3공장),사출,2026-06-10,125280.0
S관(3공장),사출,2026-06-11,181340.0
S관(3공장),사출,2026-06-12,200484.0
S관(3공장),사출,2026-06-13,161443.0
S관(3공장),접착,2026-06-01,124134.0
S관(3공장),접착,2026-06-02,141610.0
S관(3공장),접착,2026-06-03,149076.0
S관(3공장),접착,2026-06-04,164607.0
S관(3공장),접착,2026-06-05,217450.0
S관(3공장),접착,2026-06-06,176160.0
S관(3공장),접착,2026-06-07,142335.0
S관(3공장),접착,2026-06-08,156915.0
S관(3공장),접착,2026-06-09,139905.0
S관(3공장),접착,2026-06-10,141121.0
S관(3공장),접착,2026-06-11,187625.0
S관(3공장),접착,2026-06-12,151035.0
S관(3공장),접착,2026-06-13,140454.0
S관(3공장),접착,2026-06-14,5735.0
S관(3공장),하이드레이션,2026-06-01,147578.0
S관(3공장),하이드레이션,2026-06-02,89818.0
S관(3공장),하이드레이션,2026-06-03,84600.0
S관(3공장),하이드레이션,2026-06-04,185492.0
S관(3공장),하이드레이션,2026-06-05,216066.0
S관(3공장),하이드레이션,2026-06-06,100070.0
S관(3공장),하이드레이션,2026-06-07,205780.0
S관(3공장),하이드레이션,2026-06-08,93475.0
S관(3공장),하이드레이션,2026-06-09,140689.0
S관(3공장),하이드레이션,2026-06-10,120046.0
S관(3공장),하이드레이션,2026-06-11,150706.0
S관(3공장),하이드레이션,2026-06-12,138066.0
S관(3공장),하이드레이션,2026-06-13,89080.0
S관(3공장),하이드레이션,2026-06-14,3480.0
,분리,2026-06-14,0.0
